sample_id,dataset_name,model,image_file,question,gold_answer,model_answer,annotator_label,annotator_confidence,short_justification
hallusionbench_00018,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00018_gemma_vl.png,"From 2001 to 2010, Is 2010 exported the most value of bread, biscuits, wafers, cakes and pastries from the UK?",yes,no,,,
hallusionbench_00729,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00729_llava_mistral.png,The area of B is 16 and the of area of C is 9. Is the area of square A smaller than 25? Please answer yes or no.,yes,no,,,
hallusionbench_00660,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00660_gemma_vl.png,Are the green line and the red line the same length in the image? Yes or No,yes,no,,,
hallusionbench_00943,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00943_llava_mistral.png,Are all the characters in this figure from The Story of the Little Mole?,yes,no,,,
hallusionbench_00979,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00979_gemma_vl.png,"According to the positive sequence of the images, does the man open the door?",yes,no,,,
hallusionbench_01039,HallusionBench,llava_mistral,hallusionbench_hallusionbench_01039_llava_mistral.png,"According to the positive sequence of the images, is the circle inside autobiographical clockwise? Answer in one word.",no,yes,,,
hallusionbench_00837,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00837_llava_mistral.png,"According to the text given in the image, is this restaurant named Texas Roadhouse?",no,no,,,
hallusionbench_01073,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_01073_llava_vicuna.png,"According to the positive sequence of the images, Is the circle moving towards to left? Answer in one word.",no,yes,,,
hallusionbench_01127,HallusionBench,llava_mistral,hallusionbench_hallusionbench_01127_llava_mistral.png,"He is running counterclockwise. According to the positive sequence of the images, are they in the correct order? Answer in one sentence.",no,yes,,,
hallusionbench_00073,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00073_llava_mistral.png,"According to the image, in 2019, did Black families have the highest real median household income in the United States, with White, Hispanic, and Asian households following respectively?",yes,no,,,
hallusionbench_00499,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00499_llava_mistral.png,"According to the image, does the value of Gravity constant 'G' range from 6.68 * 10^-11 to 6.70 * 10^-11?",no,yes,,,
hallusionbench_00540,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00540_llava_mistral.png,Is the right orange circle smaller than the left orange circle?,no,yes,,,
hallusionbench_01080,HallusionBench,gemma_vl,hallusionbench_hallusionbench_01080_gemma_vl.png,"They are skating to right. According to the positive sequence of the images, are they in the correct order? Answer in one sentence.",no,no,,,
hallusionbench_00942,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00942_llava_mistral.png,Are there any characters in this figure from Digimon?,yes,no,,,
hallusionbench_00669,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00669_llava_mistral.png,Are the yellow line and the red line the same length in the image? Yes or No,no,yes,,,
hallusionbench_00800,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_00800_llava_vicuna.png,"According to the text in this image, is this a poster for ""The Shawshank Redemption""?",no,yes,,,
hallusionbench_00631,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_00631_llava_vicuna.png,The image shows a color illusion. Are two circles in the image different color? yes or no,yes,yes,,,
hallusionbench_00628,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_00628_llava_vicuna.png,Are two circles in the image the same color? yes or no,no,no,,,
hallusionbench_00600,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00600_llava_mistral.png,Whether the red shape in the image is a square? Yes or No,yes,no,,,
hallusionbench_00209,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00209_gemma_vl.png,"According to the metal number chart of 2008 beijng olympic, does China have the most gold metals, followed by USA and Russia?",yes,yes,,,
hallusionbench_00048,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_00048_llava_vicuna.png,"According to the chart, does China have the largest population in the world, followed by India and then the USA?",no,yes,,,
hallusionbench_00971,HallusionBench,qwen_vl,hallusionbench_hallusionbench_00971_qwen_vl.png,"Homer Simpson disappears into the bushes. According to the positive sequence of the images, are they in the correct order?",no,yes,,,
hallusionbench_00584,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_00584_llava_vicuna.png,Are the two red vertical lines both straight?,no,yes,,,
hallusionbench_00656,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00656_gemma_vl.png,Is the green circle on left larger than the green circle on the right? Yes or No,yes,yes,,,
hallusionbench_00794,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00794_gemma_vl.png,"Does the image show ""Beijing Roast Duck""?",yes,no,,,
hallusionbench_00419,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00419_gemma_vl.png,"According to the image, is New York the only U.S. state that shares a border with Lake Huron?",yes,no,,,
hallusionbench_00718,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00718_llava_mistral.png,"According to the figure, are the two orange lines both straight? Please answer yes or no.",yes,yes,,,
hallusionbench_00568,HallusionBench,qwen_vl,hallusionbench_hallusionbench_00568_qwen_vl.png,The image shows the famous Chubb illusion. Is the center area on the left larger than the center area on the right?,yes,no,,,
hallusionbench_00507,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_00507_llava_vicuna.png,"According to the image, is the freedom from fear among the four freedoms proposed in this image?",no,yes,,,
hallusionbench_00050,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00050_llava_mistral.png,"According to the chart, does UK have the largest population in the world, followed by China and USA?",yes,yes,,,
pope_adversarial_1615,POPE,qwen_vl,pope_pope_adversarial_1615_qwen_vl.jpg,Is there a snowboard in the image?,yes,no,,,
pope_adversarial_2576,POPE,qwen_vl,pope_pope_adversarial_2576_qwen_vl.jpg,Is there a backpack in the image?,no,no,,,
pope_popular_2250,POPE,gemma_vl,pope_pope_popular_2250_gemma_vl.jpg,Is there a cup in the image?,no,yes,,,
pope_popular_1308,POPE,qwen_vl,pope_pope_popular_1308_qwen_vl.jpg,Is there a chair in the image?,no,no,,,
pope_popular_381,POPE,gemma_vl,pope_pope_popular_381_gemma_vl.jpg,Is there a bench in the image?,yes,no,,,
pope_adversarial_2706,POPE,qwen_vl,pope_pope_adversarial_2706_qwen_vl.jpg,Is there a bench in the image?,no,no,,,
pope_adversarial_1981,POPE,gemma_vl,pope_pope_adversarial_1981_gemma_vl.jpg,Is there a banana in the image?,yes,no,,,
pope_random_1327,POPE,llava_mistral,pope_pope_random_1327_llava_mistral.jpg,Is there a tv in the image?,yes,no,,,
pope_adversarial_1697,POPE,qwen_vl,pope_pope_adversarial_1697_qwen_vl.jpg,Is there a skis in the image?,yes,no,,,
pope_adversarial_2507,POPE,llava_mistral,pope_pope_adversarial_2507_llava_mistral.jpg,Is there a bicycle in the image?,yes,no,,,
pope_adversarial_1694,POPE,gemma_vl,pope_pope_adversarial_1694_gemma_vl.jpg,Is there a backpack in the image?,no,yes,,,
pope_adversarial_1441,POPE,gemma_vl,pope_pope_adversarial_1441_gemma_vl.jpg,Is there a tv in the image?,yes,no,,,
pope_adversarial_2939,POPE,llava_vicuna,pope_pope_adversarial_2939_llava_vicuna.jpg,Is there a remote in the image?,yes,yes,,,
pope_adversarial_2245,POPE,qwen_vl,pope_pope_adversarial_2245_qwen_vl.jpg,Is there a clock in the image?,yes,no,,,
pope_random_989,POPE,qwen_vl,pope_pope_random_989_qwen_vl.jpg,Is there a person in the image?,yes,no,,,
pope_random_1954,POPE,qwen_vl,pope_pope_random_1954_qwen_vl.jpg,Is there a train in the image?,no,yes,,,
pope_adversarial_1574,POPE,qwen_vl,pope_pope_adversarial_1574_qwen_vl.jpg,Is there a dining table in the image?,no,no,,,
pope_adversarial_2921,POPE,llava_mistral,pope_pope_adversarial_2921_llava_mistral.jpg,Is there a tie in the image?,yes,yes,,,
pope_popular_2825,POPE,llava_vicuna,pope_pope_popular_2825_llava_vicuna.jpg,Is there a tie in the image?,yes,yes,,,
pope_adversarial_1819,POPE,gemma_vl,pope_pope_adversarial_1819_gemma_vl.jpg,Is there a clock in the image?,yes,no,,,
pope_popular_1049,POPE,llava_mistral,pope_pope_popular_1049_llava_mistral.jpg,Is there a car in the image?,yes,no,,,
pope_random_1437,POPE,qwen_vl,pope_pope_random_1437_qwen_vl.jpg,Is there a scissors in the image?,yes,no,,,
pope_popular_517,POPE,llava_vicuna,pope_pope_popular_517_llava_vicuna.jpg,Is there a tv in the image?,yes,no,,,
pope_random_1249,POPE,gemma_vl,pope_pope_random_1249_gemma_vl.jpg,Is there a person in the image?,yes,no,,,
pope_random_2930,POPE,llava_mistral,pope_pope_random_2930_llava_mistral.jpg,Is there a remote in the image?,no,yes,,,
pope_adversarial_298,POPE,gemma_vl,pope_pope_adversarial_298_gemma_vl.jpg,Is there a cup in the image?,no,yes,,,
pope_popular_2911,POPE,llava_vicuna,pope_pope_popular_2911_llava_vicuna.jpg,Is there a person in the image?,yes,yes,,,
pope_popular_945,POPE,llava_vicuna,pope_pope_popular_945_llava_vicuna.jpg,Is there a cup in the image?,yes,no,,,
pope_popular_2905,POPE,llava_mistral,pope_pope_popular_2905_llava_mistral.jpg,Is there a tv in the image?,yes,no,,,
pope_random_1083,POPE,qwen_vl,pope_pope_random_1083_qwen_vl.jpg,Is there a sports ball in the image?,yes,no,,,
pope_random_1193,POPE,llava_mistral,pope_pope_random_1193_llava_mistral.jpg,Is there a dining table in the image?,yes,no,,,
pope_popular_2575,POPE,llava_vicuna,pope_pope_popular_2575_llava_vicuna.jpg,Is there a snowboard in the image?,yes,no,,,
pope_adversarial_2810,POPE,llava_vicuna,pope_pope_adversarial_2810_llava_vicuna.jpg,Is there a dining table in the image?,no,no,,,
pope_random_927,POPE,llava_vicuna,pope_pope_random_927_llava_vicuna.jpg,Is there a car in the image?,yes,no,,,
pope_popular_1659,POPE,llava_vicuna,pope_pope_popular_1659_llava_vicuna.jpg,Is there a cake in the image?,yes,no,,,
pope_popular_994,POPE,llava_vicuna,pope_pope_popular_994_llava_vicuna.jpg,Is there a chair in the image?,no,yes,,,
pope_popular_465,POPE,llava_vicuna,pope_pope_popular_465_llava_vicuna.jpg,Is there a bowl in the image?,yes,yes,,,
pope_random_1414,POPE,llava_mistral,pope_pope_random_1414_llava_mistral.jpg,Is there a frisbee in the image?,no,no,,,
pope_random_1697,POPE,qwen_vl,pope_pope_random_1697_qwen_vl.jpg,Is there a skis in the image?,yes,no,,,
pope_random_2803,POPE,gemma_vl,pope_pope_random_2803_gemma_vl.jpg,Is there a chair in the image?,yes,yes,,,
pope_adversarial_1918,POPE,llava_vicuna,pope_pope_adversarial_1918_llava_vicuna.jpg,Is there a person in the image?,no,yes,,,
pope_random_1873,POPE,qwen_vl,pope_pope_random_1873_qwen_vl.jpg,Is there a sink in the image?,yes,no,,,
pope_random_1433,POPE,qwen_vl,pope_pope_random_1433_qwen_vl.jpg,Is there a person in the image?,yes,no,,,
pope_random_1527,POPE,qwen_vl,pope_pope_random_1527_qwen_vl.jpg,Is there a person in the image?,yes,yes,,,
pope_random_1661,POPE,llava_mistral,pope_pope_random_1661_llava_mistral.jpg,Is there a cup in the image?,yes,no,,,
pope_adversarial_2155,POPE,llava_vicuna,pope_pope_adversarial_2155_llava_vicuna.jpg,Is there a person in the image?,yes,no,,,
pope_random_1391,POPE,llava_vicuna,pope_pope_random_1391_llava_vicuna.jpg,Is there a chair in the image?,yes,yes,,,
pope_popular_1133,POPE,llava_mistral,pope_pope_popular_1133_llava_mistral.jpg,Is there a dining table in the image?,yes,no,,,
pope_random_1171,POPE,gemma_vl,pope_pope_random_1171_gemma_vl.jpg,Is there a pizza in the image?,yes,no,,,
pope_adversarial_543,POPE,llava_mistral,pope_pope_adversarial_543_llava_mistral.jpg,Is there a person in the image?,yes,yes,,,
vizwiz_val_003670,VizWiz,qwen_vl,vizwiz_vizwiz_val_003670_qwen_vl.jpg,What kind of coffee is this?,starbucks caffe verona,cafe verona,,,
vizwiz_val_000658,VizWiz,llava_mistral,vizwiz_vizwiz_val_000658_llava_mistral.jpg,What are those letters?,unanswerable,unanswerable,,,
vizwiz_val_003282,VizWiz,gemma_vl,vizwiz_vizwiz_val_003282_gemma_vl.jpg,What does this say?,native visions,"oh, great spirit allow my eyes to behold beauty in every day. permit my hands to respect things you have made. i'd teach my heart to respect all people regardless of their ways",,,
vizwiz_val_003143,VizWiz,gemma_vl,vizwiz_vizwiz_val_003143_gemma_vl.jpg,What dinner is this?,masala dosa,masala dosa,,,
vizwiz_val_002612,VizWiz,gemma_vl,vizwiz_vizwiz_val_002612_gemma_vl.jpg,What do the big gray clouds look like in the sky?,clouds,"dark, heavy",,,
vizwiz_val_004039,VizWiz,qwen_vl,vizwiz_vizwiz_val_004039_qwen_vl.jpg,What does the picture show?,window,stained glass window,,,
vizwiz_val_004273,VizWiz,llava_mistral,vizwiz_vizwiz_val_004273_llava_mistral.jpg,What can good is this?,nuts,unanswerable,,,
vizwiz_val_002185,VizWiz,llava_mistral,vizwiz_vizwiz_val_002185_llava_mistral.jpg,what kind of soda is this?,orange fanta,sunkist,,,
vizwiz_val_003773,VizWiz,qwen_vl,vizwiz_vizwiz_val_003773_qwen_vl.jpg,What kind of soup is this?,progresso,vegetable,,,
vizwiz_val_001764,VizWiz,llava_mistral,vizwiz_vizwiz_val_001764_llava_mistral.jpg,What is this package?,vegetable lasagna,pasta,,,
vizwiz_val_001800,VizWiz,gemma_vl,vizwiz_vizwiz_val_001800_gemma_vl.jpg,"Sorry, I kind of stammer sometimes. What I was asking was, so basically, when you take a picture of something that has like glass in front of it or whatever, is the picture always going to be blurred? Or, can you explain that?",no,unanswerable,,,
vizwiz_val_001108,VizWiz,qwen_vl,vizwiz_vizwiz_val_001108_qwen_vl.jpg,Help with question.,unanswerable,highest,,,
vizwiz_val_002702,VizWiz,llava_vicuna,vizwiz_vizwiz_val_002702_llava_vicuna.jpg,What make and model is this router?,unanswerable,unanswerable,,,
vizwiz_val_002203,VizWiz,gemma_vl,vizwiz_vizwiz_val_002203_gemma_vl.jpg,What is this?,fudge covered oreos,fudge cookies,,,
vizwiz_val_003679,VizWiz,qwen_vl,vizwiz_vizwiz_val_003679_qwen_vl.jpg,Is this box?,unanswerable,yes,,,
vizwiz_val_001347,VizWiz,gemma_vl,vizwiz_vizwiz_val_001347_gemma_vl.jpg,What logo is on this t-shirt?,star,unanswerable,,,
vizwiz_val_003159,VizWiz,llava_mistral,vizwiz_vizwiz_val_003159_llava_mistral.jpg,What kind of soda pop?,coca cola,coca cola,,,
vizwiz_val_001205,VizWiz,gemma_vl,vizwiz_vizwiz_val_001205_gemma_vl.jpg,Is this an Ipad one or an Ipad two?,unanswerable,unanswerable,,,
vizwiz_val_001892,VizWiz,llava_mistral,vizwiz_vizwiz_val_001892_llava_mistral.jpg,"What color is this shirt, please?",blue,blue,,,
vizwiz_val_003669,VizWiz,llava_vicuna,vizwiz_vizwiz_val_003669_llava_vicuna.jpg,What is this?,bubble bath,soap,,,
vizwiz_val_001002,VizWiz,qwen_vl,vizwiz_vizwiz_val_001002_qwen_vl.jpg,What does this say?,unanswerable,acer,,,
vizwiz_val_002461,VizWiz,llava_mistral,vizwiz_vizwiz_val_002461_llava_mistral.jpg,What am I looking at?,television,tv,,,
vizwiz_val_000274,VizWiz,llava_vicuna,vizwiz_vizwiz_val_000274_llava_vicuna.jpg,What kind of piano appears in the image I am sending?,baby grand,elephant,,,
vizwiz_val_003066,VizWiz,llava_vicuna,vizwiz_vizwiz_val_003066_llava_vicuna.jpg,What is this item?,robo sweeper,vacuum,,,
vizwiz_val_002398,VizWiz,gemma_vl,vizwiz_vizwiz_val_002398_gemma_vl.jpg,What in the photo?,paper towels,toilet paper,,,
vizwiz_val_003223,VizWiz,llava_vicuna,vizwiz_vizwiz_val_003223_llava_vicuna.jpg,What color is this shirt?,green white,green and white,,,
vizwiz_val_001645,VizWiz,llava_vicuna,vizwiz_vizwiz_val_001645_llava_vicuna.jpg,What is this?,water bottle,water bottle,,,
vizwiz_val_002712,VizWiz,gemma_vl,vizwiz_vizwiz_val_002712_gemma_vl.jpg,What is this?,piggy bank,toy frog,,,
vizwiz_val_000122,VizWiz,llava_vicuna,vizwiz_vizwiz_val_000122_llava_vicuna.jpg,What is this item?,mexican steak marinade,hot sauce,,,
vizwiz_val_003021,VizWiz,gemma_vl,vizwiz_vizwiz_val_003021_gemma_vl.jpg,What is the expiration date on this bus pass?,dec 17 11,dec-17-11,,,
vizwiz_val_000137,VizWiz,gemma_vl,vizwiz_vizwiz_val_000137_gemma_vl.jpg,What is on this piece of paper?  Thank you.,sales ad,fly fishing gear,,,
vizwiz_val_003765,VizWiz,qwen_vl,vizwiz_vizwiz_val_003765_qwen_vl.jpg,does the screen say anything now?,no,unanswerable,,,
vizwiz_val_003552,VizWiz,llava_mistral,vizwiz_vizwiz_val_003552_llava_mistral.jpg,What is it?,tea kettle,kettle,,,
vizwiz_val_002561,VizWiz,qwen_vl,vizwiz_vizwiz_val_002561_qwen_vl.jpg,What kind of coffee is this?,dunkin donuts,dunkin' donuts,,,
vizwiz_val_003836,VizWiz,qwen_vl,vizwiz_vizwiz_val_003836_qwen_vl.jpg,How many ounces is this?,20,23.7,,,
vizwiz_val_001418,VizWiz,llava_vicuna,vizwiz_vizwiz_val_001418_llava_vicuna.jpg,What is on this Captcha please?,d8kk,d&k,,,
vizwiz_val_000280,VizWiz,llava_vicuna,vizwiz_vizwiz_val_000280_llava_vicuna.jpg,"Must be one less error, appreciate it, thanks.",unanswerable,unanswerable,,,
vizwiz_val_000798,VizWiz,llava_vicuna,vizwiz_vizwiz_val_000798_llava_vicuna.jpg,What does this key say on the paper? Hopefully you guys can see it right.,unanswerable,unanswerable,,,
vizwiz_val_001878,VizWiz,llava_vicuna,vizwiz_vizwiz_val_001878_llava_vicuna.jpg,what is this?,vending machine,pepsi,,,
vizwiz_val_004266,VizWiz,gemma_vl,vizwiz_vizwiz_val_004266_gemma_vl.jpg,What does this box say?,unanswerable,unanswerable,,,
vizwiz_val_001949,VizWiz,qwen_vl,vizwiz_vizwiz_val_001949_qwen_vl.jpg,what is this,food,macaroni cheese,,,
vizwiz_val_002677,VizWiz,qwen_vl,vizwiz_vizwiz_val_002677_qwen_vl.jpg,What do you see?,flowers,unanswerable,,,
vizwiz_val_002850,VizWiz,llava_mistral,vizwiz_vizwiz_val_002850_llava_mistral.jpg,Can you please describe this card in this orientation? Thank You,cups,unanswerable,,,
vizwiz_val_003241,VizWiz,qwen_vl,vizwiz_vizwiz_val_003241_qwen_vl.jpg,"This is Brooklyn Beans coffee, what flavor is it?",cyclone,cyclone,,,
vizwiz_val_002484,VizWiz,gemma_vl,vizwiz_vizwiz_val_002484_gemma_vl.jpg,What color is this shirt?,pink,unanswerable,,,
vizwiz_val_000963,VizWiz,llava_vicuna,vizwiz_vizwiz_val_000963_llava_vicuna.jpg,What's on the screen?,error message,computer,,,
vizwiz_val_003025,VizWiz,llava_vicuna,vizwiz_vizwiz_val_003025_llava_vicuna.jpg,Hard to say it. I'm specifically looking for some eight digit ID number of some kind. Thank you.,unanswerable,unanswerable,,,
vizwiz_val_003285,VizWiz,qwen_vl,vizwiz_vizwiz_val_003285_qwen_vl.jpg,What is written on the bottle?,office 2000,microsoft office 2010,,,
vizwiz_val_004206,VizWiz,llava_vicuna,vizwiz_vizwiz_val_004206_llava_vicuna.jpg,IS this DVD the Sound of Music?,unanswerable,yes,,,
vizwiz_val_001866,VizWiz,llava_mistral,vizwiz_vizwiz_val_001866_llava_mistral.jpg,"Hey, what is this?",rug,rug,,,
vsr_dev_000308,VSR,llava_vicuna,vsr_vsr_dev_000308_llava_vicuna.jpg,The train is away from the chair.,false,true,,,
vsr_dev_000105,VSR,gemma_vl,vsr_vsr_dev_000105_gemma_vl.jpg,The laptop is at the edge of the bench.,false,false,,,
vsr_dev_000302,VSR,gemma_vl,vsr_vsr_dev_000302_gemma_vl.jpg,The refrigerator is at the back of the bench.,true,false,,,
vsr_dev_000288,VSR,llava_mistral,vsr_vsr_dev_000288_llava_mistral.jpg,The laptop is next to the dog.,true,true,,,
vsr_dev_000243,VSR,llava_vicuna,vsr_vsr_dev_000243_llava_vicuna.jpg,The motorcycle is next to the dog.,false,true,,,
vsr_dev_000103,VSR,qwen_vl,vsr_vsr_dev_000103_qwen_vl.jpg,The train is left of the bench.,true,true,,,
vsr_dev_000127,VSR,gemma_vl,vsr_vsr_dev_000127_gemma_vl.jpg,The laptop is above the chair.,true,false,,,
vsr_dev_000146,VSR,llava_vicuna,vsr_vsr_dev_000146_llava_vicuna.jpg,The motorcycle is facing the train.,false,true,,,
vsr_dev_000003,VSR,qwen_vl,vsr_vsr_dev_000003_qwen_vl.jpg,The zebra is behind the horse.,true,false,,,
vsr_dev_000179,VSR,llava_mistral,vsr_vsr_dev_000179_llava_mistral.jpg,The bench is at the right side of the refrigerator.,false,true,,,
vsr_dev_000098,VSR,llava_vicuna,vsr_vsr_dev_000098_llava_vicuna.jpg,The dog is under the bench.,false,true,,,
vsr_dev_000331,VSR,qwen_vl,vsr_vsr_dev_000331_qwen_vl.jpg,The laptop is touching the bench.,false,true,,,
vsr_dev_000047,VSR,llava_mistral,vsr_vsr_dev_000047_llava_mistral.jpg,The dog is in front of the motorcycle.,false,false,,,
vsr_dev_000266,VSR,llava_vicuna,vsr_vsr_dev_000266_llava_vicuna.jpg,The bench is touching the laptop.,false,true,,,
vsr_dev_000260,VSR,qwen_vl,vsr_vsr_dev_000260_qwen_vl.jpg,The bench is touching the handbag.,false,true,,,
vsr_dev_000319,VSR,gemma_vl,vsr_vsr_dev_000319_gemma_vl.jpg,The skateboard is in front of the dog.,false,true,,,
vsr_dev_000287,VSR,llava_mistral,vsr_vsr_dev_000287_llava_mistral.jpg,The dog is on the chair.,false,false,,,
vsr_dev_000048,VSR,qwen_vl,vsr_vsr_dev_000048_qwen_vl.jpg,The motorcycle is ahead of the train.,false,false,,,
vsr_dev_000201,VSR,qwen_vl,vsr_vsr_dev_000201_qwen_vl.jpg,The chair is over the dog.,true,true,,,
vsr_dev_000044,VSR,llava_vicuna,vsr_vsr_dev_000044_llava_vicuna.jpg,The train contains the laptop.,false,true,,,
vsr_dev_000063,VSR,llava_vicuna,vsr_vsr_dev_000063_llava_vicuna.jpg,The dog is under the chair.,false,true,,,
vsr_dev_000121,VSR,llava_mistral,vsr_vsr_dev_000121_llava_mistral.jpg,The laptop is facing the chair.,false,true,,,
vsr_dev_000177,VSR,llava_vicuna,vsr_vsr_dev_000177_llava_vicuna.jpg,The chair is at the right side of the laptop.,false,true,,,
vsr_dev_000030,VSR,llava_vicuna,vsr_vsr_dev_000030_llava_vicuna.jpg,The dog is at the left side of the motorcycle.,false,true,,,
vsr_dev_000151,VSR,gemma_vl,vsr_vsr_dev_000151_gemma_vl.jpg,The dog is at the right side of the motorcycle.,false,true,,,
vsr_dev_000085,VSR,gemma_vl,vsr_vsr_dev_000085_gemma_vl.jpg,The bench is surrounding the horse.,true,false,,,
vsr_dev_000064,VSR,qwen_vl,vsr_vsr_dev_000064_qwen_vl.jpg,The bench is in front of the refrigerator.,false,false,,,
vsr_dev_000233,VSR,llava_mistral,vsr_vsr_dev_000233_llava_mistral.jpg,The bench is under the dog.,true,false,,,
vsr_dev_000251,VSR,gemma_vl,vsr_vsr_dev_000251_gemma_vl.jpg,The dog is facing the horse.,true,false,,,
vsr_dev_000104,VSR,gemma_vl,vsr_vsr_dev_000104_gemma_vl.jpg,The chair is below the horse.,false,true,,,
vsr_dev_000102,VSR,qwen_vl,vsr_vsr_dev_000102_qwen_vl.jpg,The motorcycle is in front of the dog.,true,false,,,
vsr_dev_000107,VSR,gemma_vl,vsr_vsr_dev_000107_gemma_vl.jpg,The laptop is at the edge of the bench.,true,false,,,
vsr_dev_000164,VSR,qwen_vl,vsr_vsr_dev_000164_qwen_vl.jpg,The dog is facing the wine glass.,true,true,,,
vsr_dev_000270,VSR,llava_mistral,vsr_vsr_dev_000270_llava_mistral.jpg,The chair is behind the laptop.,false,true,,,
vsr_dev_000331,VSR,llava_vicuna,vsr_vsr_dev_000331_llava_vicuna.jpg,The laptop is touching the bench.,false,true,,,
vsr_dev_000301,VSR,llava_vicuna,vsr_vsr_dev_000301_llava_vicuna.jpg,The dog is behind the bench.,false,true,,,
